bot_id,description
0x00e608404f19d48323edec8edb078c11726fe9612ceaaa738510fbd47be30b00,"The purpose of the ""Scam Sniffer Forta bot"" is to detect suspicious NFT orders on-chain, specifically focusing on the Ethereum blockchain. It supports protocols such as Seaport and Blur. The bot's source code comprises two main files: ""agent.spec.js"" and ""agent.js"". The ""agent.js"" file contains the core logic of the bot, where it defines a function called ""handleTransaction"" responsible for processing transaction events and detecting suspicious orders. The bot extracts relevant information from transaction events, such as transaction details, logs, and messages related to NFT transactions. It then evaluates the total value of the transactions and checks if they exceed predefined thresholds to determine the severity level. If a suspicious order is detected, the bot creates a finding with details such as the order's origin, recipients, total value, and any stolen NFTs.
Overall, the bot's purpose is to provide automated monitoring and detection of potentially fraudulent NFT transactions on the Ethereum blockchain, contributing to improved security and risk mitigation for users and platforms operating in the NFT space."
0x11b3d9ffb13a72b776e1aed26616714d879c481d7a463020506d1fb5f33ec1d4,"The purpose of the forta-text-messages-agent web3 bot is to monitor transactions on various blockchain networks (Ethereum, Optimism, BSC, Polygon, Fantom, Arbitrum, Avalanche) and search for text messages within those transactions. It specifically alerts about potential security risks if the text message in the transaction data contains certain keywords indicative of malicious intent, such as terms related to theft, scams, hacking, or offensive language. The bot distinguishes between high and low severity alerts based on the presence of these keywords, with high severity indicating a higher likelihood of a security threat. The provided source code includes Python scripts (agent_test.py and agent.py) that implement the bot's functionality, including handling transactions, extracting text messages, analyzing message content for security risks, and generating alerts with appropriate severity levels."
0x23c932a84edb564bcc5582f950ea9803099ed85ecd2681298bd114a04eccafba,"The purpose of the specific web3 bot is to monitor transactions on the Ethereum blockchain and detect when a borrow amount is close to the total supply of a market in the Iron Bank protocol. It accomplishes this by analyzing events related to borrowing transactions and calculating the ratio of the borrowed amount to the total supply. If this ratio exceeds a predefined threshold (90% in this case), it triggers an alert indicating that the borrow amount is nearing the total supply of the market. The bot retrieves relevant data from the blockchain using various contracts and ABIs, including the Comptroller, iToken, Multicall, and Oracle contracts. It utilizes a Multicaller class to efficiently aggregate multiple calls to different contract functions. Additionally, it formats findings and generates alerts with detailed information about the borrower, borrow amount, total supply, and percentage ratio."
0x28ab88d2c338a4aac3828d0dc4294ceea85c43473d294c7cab456a9516587ec1,"The PCS Large Swap Bot is designed to detect significant swaps in the stkBNB-BNB Pancake pair contract on the BNB Chain. It identifies swaps where the amount of tokens exchanged is a substantial fraction of the pair's pool reserves, with the threshold set at 1%. The bot's purpose is to alert users when such large swaps occur, providing information about the swap's details such as the amount of tokens swapped, the percentage of the swap relative to the pair's token balances in the previous block, and the recipient address of the swap. The bot's source code consists of various modules including constants, agent, data fetcher, and utilities, which work together to handle transactions, filter swap events, retrieve token balances, and create findings for large swaps."
0x2f2d455136d8584088e2c5466d5c7b5a77f95ef40dca3e8c1ba0990b363c24e9,"The purpose of the specific web3 bot is to detect transactions with Agent Updated events on the Polygon chain. It generates alerts categorized into two types: FORTA-BOT-UPDATED and FORTA-BOT-CREATED. The former is fired when a transaction contains an Agent Updated event, with severity set to ""low"" and type set to ""info"". The latter is fired when a transaction contains an Agent Mint Transfer Event, also with severity set to ""low"" and type set to ""info"". The source code consists of three main components: agent.spec.js, AgentTracker.js, and agent.js. The agent.js file defines the logic for handling transactions and generating findings based on the event data. AgentTracker.js maintains a tracking system for agent creations and updates, while agent.spec.js contains tests for the agent logic."
0x338f9063083951962435b40bf6bdd4de20299b1deb137ec34d1825c14e050a44,"The purpose of the specific web3 bot is to detect if the price of any Perpetual Yield Tranches Strategy has decreased on the Ethereum chain. It functions by retrieving strategy prices and comparing them to previous prices. If a decrease is detected, it generates a critical alert with a description indicating the decreased price and relevant metadata such as the old and current prices, as well as the symbol of the strategy token. The bot achieves this functionality through a series of modules including the main agent, a helper for fetching strategies and prices, and specific functions for initializing and handling blocks."
0x3acf759d5e180c05ecabac2dbd11b79a1f07e746121fc3c86910aaace8910560,"The specific web3 bot described aims to detect the creation of scam contracts by analyzing bytecode similarities to known scam contracts provided by other Forta bots. It works by listening to every contract creation event, retrieving the runtime bytecode of the created contract, building a Control Flow Graph (CFG) of the bytecode, extracting instructions of every function, vectorizing them using a doc2vec model, and comparing the vectorized function features of the contract with those of known scam contracts using FAISS. The bot performs function-level semantic similarity detection based on a defined similarity calculation formula. When similarities are detected, alerts are raised with relevant metadata and labels assigned. The source code comprises several modules, including construct_dataset.py, utils.py, agent.py, and train.py, each serving specific functions such as dataset construction, bytecode analysis, similarity detection, and model training."
0x3bd9405ef6eaa94e620ebdea8b5d8646116b064c1ca860215dcb9920cf8d8dcc,"The purpose of the Large Treasury Token Price Change Bot is to monitor and detect significant price changes in tokens' exchange rates using data provided by Chainlink feeds. The bot's behavior can be adjusted through configurations in the source code. It supports Ethereum chain and triggers alerts based on predefined conditions such as large price changes or negative feed answers. The bot's functionality is extensively tested through unit tests covering various scenarios, ensuring its reliability in detecting price fluctuations accurately.It consists of three main files: ""agent.config.js"", ""utils.js"", and ""agent.js"".
In ""agent.config.js"", the bot's configuration is specified, including the tokens to monitor, their corresponding Chainlink feed addresses, absolute and percentage thresholds for detecting price changes, and the interval for checking prices. ""utils.js"" contains utility functions for converting Ethereum BigNumber values, as well as functions for creating findings related to price changes and negative feed answers. Finally, ""agent.js"" defines functions for initializing the bot and handling block events. It fetches data from Chainlink feeds, monitors price changes based on configured thresholds, and emits findings when significant changes are detected. The bot utilizes Ethereum contracts, BigNumber arithmetic, and the Forta Agent framework for interacting with the Ethereum blockchain and emitting findings. Overall, the bot's purpose is to provide real-time monitoring and alerting for price changes in specified token pairs on the Umee protocol, helping users stay informed about market fluctuations."
0x3f5d0e780a99c3058b58884844e4c71df34b2b739fd957847facc77f69e9f2cc,"The specific web3 bot described in the provided source code is designed to monitor and analyze token transfers on the Ethereum blockchain. Its purpose is to detect anomalies such as significant decreases in token balances or the removal of all tokens from a particular address. The bot leverages the ARIMA (AutoRegressive Integrated Moving Average) model to analyze token transfer patterns and identify potential exploits or suspicious activities. Additionally, it utilizes persistence mechanisms to store and retrieve data about token transfers, enabling it to maintain a historical record and track trends over time. Overall, the bot aims to provide proactive monitoring and alerting for potential security threats or abnormal behavior related to token transfers on the Ethereum blockchain."
0x441d3228a68bbbcf04e6813f52306efcaf1e66f275d682e62499f44905215250,"The purpose of the specific web3 bot is to identify potential victims of attacks on blockchain networks during different stages of transaction processing. It analyzes transactions to detect victims in both the preparation and exploitation stages of an attack. The bot identifies victims based on certain criteria such as contract addresses, holders, and confidence levels, then generates findings detailing the identified victims. This information can be crucial for security monitoring and risk assessment on blockchain networks. The source code of the bot includes functions for handling transactions and creating findings based on identified victims. It utilizes tools from the Forta framework, such as the VictimIdentifier class and Ethereum provider, to extract relevant information from transaction events. The code processes transactions, identifies victims, and generates findings accordingly, providing insights into potential security threats on blockchain networks."
